Date	Open	Close
2010-06-29	127.349998	125.089996
2010-06-30	124.830002	123.480003
2010-07-01	123.550003	122.57
2010-07-02	123.290001	121.860001
2010-07-06	123.580002	123.459999
2010-07-07	123.470001	127
2010-07-08	127.370003	127.970001
2010-07-09	127.900002	127.959999
2010-07-12	127.370003	128.669998
2010-07-13	128.970001	130.479996
2010-07-14	129.320007	130.720001
2010-07-15	129.869995	130.720001
2010-07-16	129.960007	128.029999
2010-07-19	128.669998	129.789993
2010-07-20	122.970001	126.550003
2010-07-21	126.440002	125.269997
2010-07-22	126.32	127.470001
2010-07-23	127.300003	128.380005
2010-07-26	128.179993	128.410004
2010-07-27	128.779999	128.630005
2010-07-28	128.669998	128.429993
2010-07-29	129.059998	128.020004
2010-07-30	127.43	128.399994
2010-08-02	129.25	130.759995
2010-08-03	130.029999	130.369995
2010-08-04	130.460007	131.270004
2010-08-05	130.729996	131.830002
2010-08-06	130.410004	130.139999
2010-08-09	130.789993	132
2010-08-10	131.179993	131.839996
2010-08-11	130.690002	129.830002
2010-08-12	127.690002	128.300003
2010-08-13	127.959999	127.870003
2010-08-16	127.470001	127.769997
2010-08-17	128.830002	128.449997
2010-08-18	128.869995	129.389999
2010-08-19	128.669998	128.899994
2010-08-20	128.720001	127.5
2010-08-23	127.57	126.470001
2010-08-24	125.209999	124.900002
2010-08-25	124.57	125.269997
2010-08-26	125.779999	122.779999
2010-08-27	123.830002	124.730003
2010-08-30	125.080002	123.400002
2010-08-31	123.309998	123.129997
2010-09-01	125.309998	125.769997
2010-09-02	126.029999	125.040001
2010-09-03	126.220001	127.580002
2010-09-07	126.989998	125.949997
2010-09-08	126.019997	126.080002
2010-09-09	127.269997	126.360001
2010-09-10	126.989998	127.989998
2010-09-13	128.630005	129.610001
2010-09-14	128.429993	128.850006
2010-09-15	128.649994	129.429993
2010-09-16	129.199997	129.669998
2010-09-17	129.919998	130.190002
2010-09-20	130.240005	131.789993
2010-09-21	131.449997	131.979996
2010-09-22	131.610001	132.570007
2010-09-23	131.419998	131.669998
2010-09-24	132.419998	134.110001
2010-09-27	133.509995	134.649994
2010-09-28	134.669998	134.889999
2010-09-29	134.399994	135.479996
2010-09-30	135.5	134.139999
2010-10-01	135.509995	135.639999
2010-10-04	135.229996	135.25
2010-10-05	136.179993	137.660004
2010-10-06	136.880005	137.839996
2010-10-07	137.919998	138.720001
2010-10-08	138.399994	138.850006
2010-10-11	138.789993	139.660004
2010-10-12	138.399994	139.850006
2010-10-13	139.910004	140.369995
2010-10-14	140.350006	141.5
2010-10-15	142.100006	141.059998
2010-10-18	140.899994	142.830002
2010-10-19	137.300003	138.029999
2010-10-20	138.279999	139.070007
2010-10-21	139.809998	139.830002
2010-10-22	140.149994	139.669998
2010-10-25	140.419998	139.839996
2010-10-26	139.289993	140.669998
2010-10-27	139.520004	141.429993
2010-10-28	141.839996	140.899994
2010-10-29	140.899994	143.600006
2010-11-01	143.639999	143.320007
2010-11-02	143.850006	143.839996
2010-11-03	144.240005	144.169998
2010-11-04	144.820007	146.789993
2010-11-05	145.940002	146.919998
2010-11-08	145.350006	146.460007
2010-11-09	146.699997	146.139999
2010-11-10	146.089996	146.550003
2010-11-11	144.699997	145.429993
2010-11-12	144.589996	143.740005
2010-11-15	143.889999	143.639999
2010-11-16	142.929993	142.240005
2010-11-17	142.490005	141.949997
2010-11-18	143.039993	144.360001
2010-11-19	144.380005	145.050003
2010-11-22	144	145.389999
2010-11-23	144.240005	143.179993
2010-11-24	143.949997	145.809998
2010-11-26	145.300003	143.899994
2010-11-29	143.529999	142.889999
2010-11-30	142.240005	141.460007
2010-12-01	143.610001	144.410004
2010-12-02	144.330002	145.179993
2010-12-03	144.25	145.380005
2010-12-06	144.539993	144.990005
2010-12-07	146.020004	144.020004
2010-12-08	144.350006	144.979996
2010-12-09	145.940002	144.300003
2010-12-10	144.880005	144.820007
2010-12-13	145.139999	144.279999
2010-12-14	144.259995	145.820007
2010-12-15	145.130005	144.720001
2010-12-16	144.839996	144.550003
2010-12-17	144.690002	145
2010-12-20	145.389999	144.509995
2010-12-21	144.990005	145.740005
2010-12-22	145.660004	145.949997
2010-12-23	145.889999	145.889999
2010-12-27	145.119995	145.339996
2010-12-28	145.309998	145.710007
2010-12-29	146	146.520004
2010-12-30	146.360001	146.669998
2010-12-31	146.729996	146.759995
2011-01-03	147.210007	147.479996
2011-01-04	147.559998	147.639999
2011-01-05	147.339996	147.050003
2011-01-06	147.130005	148.660004
2011-01-07	148.789993	147.929993
2011-01-10	147.580002	147.639999
2011-01-11	148.199997	147.279999
2011-01-12	147.990005	149.100006
2011-01-13	149.240005	148.820007
2011-01-14	148.889999	150
2011-01-18	149.820007	150.649994
2011-01-19	153.259995	155.690002
2011-01-20	154.529999	155.800003
2011-01-21	156.399994	155.5
2011-01-24	155.419998	159.630005
2011-01-25	159.210007	161.440002
2011-01-26	161.669998	161.039993
2011-01-27	161.429993	161.070007
2011-01-28	161.050003	159.210007
2011-01-31	159.179993	162
2011-02-01	162.110001	163.559998
2011-02-02	163.399994	163.300003
2011-02-03	163.160004	163.529999
2011-02-04	163.479996	164
2011-02-07	164.080002	164.820007
2011-02-08	164.820007	166.050003
2011-02-09	165.619995	164.649994
2011-02-10	163.899994	164.089996
2011-02-11	163.979996	163.850006
2011-02-14	164.179993	163.220001
2011-02-15	162.889999	162.839996
2011-02-16	163.330002	163.399994
2011-02-17	163.300003	164.240005
2011-02-18	164.460007	164.839996
2011-02-22	163.570007	161.949997
2011-02-23	161.809998	160.179993
2011-02-24	159.630005	160.770004
2011-02-25	161.059998	162.279999
2011-02-28	162.360001	161.880005
2011-03-01	163.149994	159.970001
2011-03-02	159.429993	160.160004
2011-03-03	161.419998	163.479996
2011-03-04	163.399994	161.830002
2011-03-07	161.600006	159.929993
2011-03-08	159.699997	162.279999
2011-03-09	163.470001	165.860001
2011-03-10	164.639999	162.020004
2011-03-11	162.399994	162.429993
2011-03-14	161.160004	161.389999
2011-03-15	157.350006	159.020004
2011-03-16	156.520004	153
2011-03-17	154	154.179993
2011-03-18	156.5	155.889999
2011-03-21	157.639999	157.679993
2011-03-22	158.559998	158
2011-03-23	158	159.529999
2011-03-24	160.229996	160.039993
2011-03-25	160.979996	162.179993
2011-03-28	161.539993	161.369995
2011-03-29	161.339996	162.880005
2011-03-30	163.550003	163.600006
2011-03-31	163.399994	163.070007
2011-04-01	163.699997	164.270004
2011-04-04	164.419998	164.25
2011-04-05	163.809998	163.990005
